Number,Message
2550,Pattatras
5517,Patte
2310,Pattatras
5283,Patte
330,Pattatras
6018,Patte
6148,6148
4796,4796
1199,1199
3074,3074
3,Patte
2736,Patte
4520,Tatras
90,Pattatras
3756,Patte
3868,3868
2602,2602
3873,Patte
6064,6064
2694,Patte
667,667
583,583
204,Patte
5885,Tatras
4472,4472
3857,3857
1480,Tatras
4190,Tatras
6164,6164
4606,4606
4305,Pattatras
4001,4001
2616,Patte
3793,3793
3968,3968
3352,3352
4675,Tatras
6351,Patte
144,Patte
6271,6271
4038,Patte
594,Patte
190,Tatras
4359,Patte
5080,Tatras
3414,Patte
5925,Pattatras
1869,Patte
2784,Patte
5441,5441
3250,Tatras
573,Patte
5491,5491
4111,4111
1299,Patte
2724,Patte
2827,2827
1469,1469
5580,Pattatras
1233,Patte
4372,4372
4493,4493
3025,Tatras
674,674
3418,3418
3422,3422
1276,1276
4167,Patte
6414,Patte
104,104
3056,3056
5211,Patte
2497,2497
2071,2071
1166,1166
3835,Tatras
694,694
3189,Patte
4115,Tatras
1721,1721
3902,3902
6151,6151
587,587
5344,5344
4221,Patte
2241,Patte
83,83
3479,3479
5218,5218
2316,Patte
1238,1238
2462,2462
3205,Tatras
997,997
1769,1769
5708,5708
2539,2539
3538,3538
5950,Tatras
1055,Tatras
2117,2117
369,Patte
2849,2849
4102,4102
3845,Tatras
5512,5512
4468,4468
823,823
131,131
4357,4357
259,259
4288,4288
761,761
2433,Patte
142,142
1461,Patte
4332,Patte
2286,Patte
4324,4324
440,Tatras
113,113
2125,Tatras
1271,1271
5425,Tatras
2722,2722
888,Patte
6153,Patte
2673,Patte
5345,Tatras
3811,3811
6057,Patte
1598,1598
1983,Patte
2682,Patte
5727,Patte
2799,Patte
2820,Pattatras
77,77
3551,3551
6190,Tatras
2267,2267
2115,Pattatras
3135,Pattatras
2311,2311
4810,Tatras
5363,5363
1043,1043
1302,Patte
4280,Tatras
4055,Tatras
5251,5251
2031,Patte
1477,1477
6110,Tatras
1743,Patte
407,407
5445,Pattatras
5849,5849
3962,3962
688,688
6063,Patte
1624,1624
970,Tatras
1320,Pattatras
2506,2506
447,Patte
220,Tatras
2120,Tatras
393,Patte
5111,5111
1859,1859
4480,Tatras
5626,5626
2939,2939
1125,Pattatras
5914,5914
821,821
834,Patte
5263,5263
6175,Tatras
2098,2098
4169,4169
4525,Tatras
6279,Patte
5130,Pattatras
876,Patte
3203,3203
1837,1837
1955,Tatras
1294,1294
725,Tatras
4709,4709
316,316
4149,Patte
3801,Patte
5217,Patte
5754,Patte
3661,3661
3889,3889
4234,4234
1664,1664
3472,3472
5736,Patte
5506,5506
4957,4957
2676,Patte
792,Patte
3570,Pattatras
3791,3791
3674,3674
3875,Tatras
2999,2999
1801,1801
4089,Patte
2807,2807
925,Tatras
5368,5368
2752,2752
1940,Tatras
146,146
5558,5558
2211,Patte
1062,Patte
4595,Tatras
2175,Pattatras
3657,Patte
4499,4499
5959,5959
3565,Tatras
2542,2542
715,Tatras
5470,Tatras
5257,5257
4524,Patte
1198,1198
4562,4562
3357,Patte
3706,3706
5009,5009
6068,6068
2183,2183
5505,Pattatras
5331,Patte
4993,4993
1331,1331
4695,Pattatras
848,848
713,713
6431,6431
2743,2743
3985,Tatras
4959,Patte
271,271
4751,4751
3885,Pattatras
1531,1531
5667,Patte
673,673
2739,Patte
406,406
191,191
5463,Patte
2710,Tatras
1702,1702
2778,Patte
5780,Tatras
1826,1826
4337,4337
5253,Patte
4008,Patte
6329,6329
705,Pattatras
1357,1357
5292,Patte
4325,Tatras
5537,5537
1148,1148
1752,Patte
6424,6424
2123,2123
2818,2818
6381,Patte
1530,Pattatras
306,Patte
2876,2876
3964,3964
1355,Tatras
1405,Tatras
4984,4984
3201,Patte
4828,4828
89,89
6296,6296
1114,1114
2016,Patte
999,Patte
5293,5293
4715,Tatras
4424,4424
3945,Pattatras
5557,5557
4880,Tatras
3204,Patte
3269,3269
6243,Patte
2523,Patte
126,Patte
800,Tatras
1190,Tatras
1227,Patte
902,902
2065,Tatras
67,67
4939,4939
4951,4951
4960,Tatras
5584,5584
2464,2464
4063,4063
4545,Pattatras
1655,Tatras
1470,Pattatras
1278,Patte
3345,Pattatras
1352,1352
6282,Patte
4265,Tatras
5272,5272
6129,Patte
2185,Tatras
4481,4481
5560,Tatras
4676,4676
871,871
5643,Patte
480,Pattatras
569,569
1729,1729
6035,Tatras
6388,6388
6219,Patte
253,253
6382,6382
5194,5194
3911,3911
3419,3419
604,604
6359,6359
4718,4718
3944,3944
681,Patte
2026,2026
4999,4999
1165,Tatras
6217,6217
1950,Pattatras
314,314
4464,Patte
1768,1768
5682,Patte
3596,3596
2665,Tatras
2331,Patte
4592,4592
1652,1652
1506,Patte
658,658
294,Patte
1222,1222
2412,Patte
2436,Patte
5225,Tatras
614,614
2721,Patte
3727,3727
5737,5737
4262,4262
5221,5221
4377,Patte
4088,4088
5200,Tatras
2766,Patte
4163,4163
43,43
4686,Patte
1418,1418
2473,2473
2387,2387
3001,3001
4204,4204
2785,Tatras
4577,4577
5822,5822
1718,1718
5118,Patte
2048,2048
1584,Patte
5154,Patte
2760,Pattatras
2894,2894
3786,Patte
3561,Patte
2548,2548
2828,2828
4583,4583
4484,4484
5427,Patte
2086,2086
1206,Patte
3703,3703
5595,Pattatras
2500,Tatras
3170,Tatras
1180,Tatras
5386,5386
5091,Patte
4775,Tatras
930,Pattatras
3138,Patte
5416,5416
3938,3938
1927,1927
4965,Pattatras
1267,1267
3919,3919
759,Patte
5325,Pattatras
4594,4594
4924,4924
1229,1229
2486,2486
6449,6449
2755,Tatras
2186,2186
1077,Patte
1323,Patte
1792,1792
4402,4402
5013,Patte
2290,Tatras
3948,Patte
513,Patte
5010,Pattatras
4926,Patte
3505,Tatras
818,818
1527,Patte
3678,Patte
4285,Tatras
4498,4498
3212,3212
1520,Tatras
4720,Tatras
2593,2593
5949,Patte
2275,Tatras
2371,2371
4917,Patte
1129,1129
152,152
6201,Patte
1508,1508
429,Patte
5479,5479
1194,Patte
345,Pattatras
3679,3679
2608,2608
1888,1888
1486,1486
562,562
5105,Tatras
2634,Patte
481,481
4080,Pattatras
3476,3476
4159,4159
2897,2897
2817,Patte
1316,1316
1419,Patte
5508,Patte
4275,Pattatras
334,334
2835,Pattatras
5589,Patte
4836,Patte
2410,Tatras
691,691
5608,5608
3560,Tatras
1805,Tatras
28,28
727,727
3936,Patte
4541,4541
4593,Patte
5706,Patte
2679,Patte
2198,2198
1447,1447
451,451
1241,1241
2945,Tatras
2295,Pattatras
2045,Tatras
4486,4486
4100,Tatras
2246,2246
4254,Patte
4736,4736
1192,1192
4862,4862
38,38
5402,5402
2746,2746
5707,5707
3227,3227
6254,6254
4949,4949
5334,Patte
3186,Patte
5683,5683
2292,Patte
3293,3293
2287,2287
283,283
4833,Patte
5607,Patte
998,998
2062,2062
1694,1694
6086,6086
2141,2141
2627,2627
2775,Pattatras
1013,1013
3822,Patte
2008,2008
400,Tatras
934,934
3577,3577
4338,Patte
1353,Patte
3899,3899
4728,Patte
5676,Patte
4598,4598
3079,3079
5229,Patte
5280,Pattatras
1112,1112
5022,Patte
1364,1364
3907,3907
4543,4543
4431,Patte
4640,Tatras
4629,Patte
882,Patte
4544,4544
2063,2063
2229,Patte
4958,4958
4772,4772
366,Patte
4646,4646
1590,Pattatras
744,Patte
4983,Patte
546,Patte
6048,Patte
3386,3386
6014,6014
652,652
1688,1688
987,Patte
718,718
2690,Tatras
273,Patte
6361,6361
5455,Tatras
2323,2323
2050,Tatras
2872,2872
5662,5662
5336,5336
4353,Patte
3145,Tatras
565,Tatras
3194,3194
3891,Patte
852,Patte
3863,3863
373,373
405,Pattatras
1701,Patte
3233,3233
4773,Patte
1242,Patte
208,208
866,866
1263,Patte
4601,4601
5746,5746
3592,3592
5935,Tatras
3860,Tatras
4429,4429
1061,1061
4453,4453
4662,Patte
1186,1186
2356,2356
2224,2224
4991,4991
3760,Tatras
846,Patte
1298,1298
5790,Pattatras
2056,2056
5714,5714
2540,Tatras
5565,Pattatras
1695,Pattatras
5062,5062
2735,Tatras
6078,Patte
1625,Tatras
3319,3319
1022,1022
5532,Patte
3139,3139
2819,2819
4318,4318
4165,Tatras
5178,Patte
6322,6322
2300,Tatras
3780,Pattatras
2814,Patte
3315,Pattatras
6436,6436
4518,Patte
4160,Tatras
4335,Pattatras
22,22
1572,Patte
3052,3052
6135,Pattatras
5618,5618
4119,Patte
6089,6089
4095,Pattatras
1834,1834
605,Tatras
864,Patte
114,Patte
2830,Tatras
1662,Patte
2487,Patte
2421,Patte
2257,2257
4118,4118
4034,4034
847,847
5642,5642
3179,3179
2560,Tatras
1442,1442
5018,5018
3175,Tatras
3395,Tatras
1745,Tatras
4729,4729
5717,5717
1917,Patte
1502,1502
4358,4358
2985,Pattatras
6074,6074
6451,6451
4401,Patte
1094,1094
1627,1627
3388,3388
6285,Pattatras
1415,Tatras
2796,Patte
1492,1492
1104,Patte
4724,4724
6213,Patte
2114,2114
1686,Patte
5971,5971
5294,5294
5035,Tatras
5729,5729
1565,Tatras
1169,1169
5579,5579
4580,Tatras
3691,3691
170,Tatras
506,506
5908,5908
2873,2873
837,Patte
2309,2309
4759,4759
5419,5419
4907,4907
336,Patte
1516,1516
12,Patte
2702,2702
3773,3773
2237,2237
3110,Tatras
1833,Patte
5487,Patte
5414,5414
2273,2273
5543,5543
4143,Patte
5761,5761
2327,2327
1515,Pattatras
53,53
3033,Patte
84,Patte
6377,6377
3072,Patte
535,Tatras
4166,4166
1707,Patte
3802,3802
5260,Tatras
4858,4858
815,Tatras
5275,Tatras
5583,Patte
1820,Tatras
933,Patte
5457,Patte
4147,4147
4112,4112
1471,1471
1913,1913
278,278
621,Patte
5459,5459
3174,Patte
1622,1622
6304,6304
5333,5333
5704,5704
3366,Patte
2632,2632
2572,2572
2643,Patte
5141,5141
6031,6031
889,889
238,238
2803,2803
1243,1243
1487,1487
1484,1484
5923,5923
3792,Patte
4837,4837
2375,Tatras
4719,Patte
3119,3119
697,697
1570,Tatras
1774,1774
2981,2981
3097,3097
3723,Patte
4716,Patte
1596,Patte
2024,2024
4214,4214
4929,Patte
1799,1799
811,811
552,Patte
6049,6049
6334,6334
3126,Patte
3632,3632
639,Patte
5878,5878
4535,Tatras
4052,4052
2709,Patte
3517,3517
4233,Patte
4521,Patte
394,394
796,796
825,Pattatras
3959,3959
5224,5224
4445,Tatras
3003,Patte
5295,Pattatras
2206,2206
4018,4018
1578,Patte
1794,Patte
3458,3458
1454,1454
6070,Tatras
5747,5747
285,Pattatras
4517,4517
3323,3323
5804,5804
5023,5023
515,Tatras
2467,2467
5633,5633
6214,6214
5991,Patte
279,Patte
1892,1892
2437,2437
3904,3904
5249,5249
6053,6053
3121,3121
2890,Tatras
6363,Patte
3365,Tatras
1886,1886
5892,Patte
147,Patte
4422,Patte
188,188
5917,5917
3688,3688
2886,Patte
5713,5713
3284,3284
5578,5578
56,56
5561,5561
791,791
5688,Patte
5821,5821
5586,Patte
4140,Pattatras
1981,1981
431,431
975,Pattatras
3864,Patte
1195,Tatras
4934,4934
1,1
1555,Tatras
1609,1609
6118,6118
6408,Patte
4857,Patte
5076,Patte
2152,2152
1475,Tatras
4258,4258
5148,Patte
4925,Tatras
5011,5011
3758,3758
1896,Patte
6107,6107
5,Tatras
6123,Patte
4019,4019
2463,Patte
2302,2302
2804,2804
4887,Patte
4753,4753
2438,2438
5332,5332
5766,Patte
1542,Patte
3132,Patte
1522,1522
2139,Patte
4103,4103
1210,Tatras
1926,Patte
720,Pattatras
1682,1682
5379,Patte
3261,Patte
1897,1897
1064,1064
2238,Patte
4607,4607
3641,3641
5034,Patte
4172,4172
5870,Tatras
4963,4963
4270,Tatras
6331,6331
2119,2119
3986,3986
1173,Patte
1063,1063
4797,Patte
5574,Patte
3481,3481
1641,Patte
995,Tatras
4186,4186
1393,1393
4242,Patte
3237,Patte
6332,6332
3198,Patte
4476,Patte
926,926
2388,Patte
3111,Patte
2020,Tatras
1235,Tatras
3405,Pattatras
4745,Tatras
235,Tatras
4935,Pattatras
4415,Tatras
2584,2584
3763,3763
3348,Patte
354,Patte
1907,1907
4974,Patte
4707,Patte
1934,1934
6091,6091
1304,1304
3914,3914
3690,Pattatras
3782,3782
5616,Patte
437,437
3018,Patte
2180,Tatras
4203,Patte
4807,4807
4189,4189
5990,Tatras
1191,Patte
3764,3764
2725,Tatras
5410,Tatras
2155,Tatras
1846,1846
261,Patte
3207,Patte
2651,2651
2622,Patte
1766,1766
4455,Pattatras
3809,3809
5270,Tatras
3879,Patte
4277,4277
3046,3046
5116,5116
2554,2554
1211,1211
2049,Patte
1000,Tatras
3789,Patte
3598,3598
4462,4462
3897,Patte
980,Tatras
4021,4021
2920,Tatras
3808,3808
6108,Patte
599,599
1346,1346
3080,Tatras
3858,Patte
4692,Patte
4915,Tatras
3881,3881
1431,Patte
5484,Patte
3384,Patte
2901,Patte
3926,3926
3770,Tatras
445,Tatras
5108,5108
3774,Patte
3005,Tatras
1085,Tatras
5079,Patte
647,647
3977,3977
574,574
6350,Tatras
5934,Patte
3276,Patte
2972,2972
2284,2284
32,32
75,Pattatras
1138,1138
5480,Tatras
598,598
6161,6161
3815,Tatras
5613,Patte
4225,Tatras
4145,Tatras
3404,3404
5764,5764
4182,Patte
1334,1334
3444,Patte
5733,Patte
5572,5572
571,571
5970,Pattatras
322,322
3643,3643
877,877
2950,Tatras
4153,4153
3937,3937
3272,3272
2515,Tatras
805,Tatras
4908,Patte
452,452
945,Pattatras
5703,Patte
5641,5641
2691,Patte
3844,3844
6264,Patte
3380,Tatras
2753,2753
885,Pattatras
2671,2671
5605,Tatras
853,853
4381,4381
1479,Patte
549,Patte
5173,5173
2557,2557
6184,6184
2857,2857
150,Pattatras
1280,Tatras
4700,Tatras
4654,4654
1259,1259
5092,5092
1538,1538
5061,Patte
4004,4004
5997,Patte
5894,5894
5372,5372
3473,3473
989,989
4405,Tatras
3287,3287
4539,Patte
1209,Patte
963,Patte
4933,4933
6136,6136
317,317
308,308
5779,5779
4784,4784
1549,1549
2984,2984
4874,4874
1824,Patte
1533,Patte
1452,Patte
5352,Patte
4673,4673
6402,Patte
1409,1409
198,Patte
5215,Tatras
2039,2039
5442,Patte
1065,Pattatras
5757,Patte
2975,Tatras
412,412
3496,3496
5335,Tatras
489,Patte
2075,Tatras
5143,5143
2337,Patte
5176,5176
2980,Tatras
4953,Patte
3734,3734
6084,Patte
5523,Patte
1421,1421
2041,2041
6413,6413
2378,2378
2832,Patte
5679,Patte
1518,Patte
4553,4553
4732,4732
4156,4156
4569,Patte
409,409
3941,3941
1546,1546
5546,5546
2625,Pattatras
5132,5132
3642,Patte
3457,3457
2149,2149
3219,Patte
1595,Tatras
5788,5788
20,Tatras
2282,2282
4549,4549
3169,3169
6258,Patte
5311,5311
5695,Tatras
636,Patte
3749,3749
2355,Pattatras
2737,2737
1450,Tatras
3530,Tatras
5886,Patte
2042,2042
5888,5888
6155,Tatras
1987,1987
1656,Patte
1136,1136
1336,1336
1685,Tatras
3446,3446
3694,3694
2157,Patte
1347,Patte
4231,4231
5144,5144
3061,3061
4896,Patte
3040,Tatras
1585,Tatras
4702,4702
5475,Pattatras
4693,4693
4731,Patte
2172,Patte
2168,2168
4474,4474
2240,Tatras
3426,Patte
6404,6404
785,Tatras
5774,5774
1473,Patte
5142,Patte
1145,Tatras
5515,Tatras
34,34
4672,4672
910,Tatras
6196,6196
4748,4748
1170,Pattatras
2225,Tatras
510,Pattatras
5669,5669
3306,Patte
6316,6316
5301,Patte
1650,Pattatras
300,Pattatras
4649,4649
4303,4303
2783,2783
3114,Patte
3240,Pattatras
3034,3034
2204,2204
6189,Patte
5922,Patte
349,349
443,443
2176,2176
5239,5239
25,Tatras
4677,Patte
2419,2419
4552,4552
5932,5932
3768,Patte
920,Tatras
2374,2374
584,584
3591,Patte
1796,1796
4328,4328
5883,Patte
3603,Patte
1856,1856
2038,2038
5612,5612
570,Pattatras
2097,Patte
4310,Tatras
3574,3574
5555,Tatras
5944,5944
4442,4442
1287,Patte
3334,3334
3495,Pattatras
110,Tatras
810,Pattatras
3558,Patte
5207,5207
3067,3067
861,Patte
159,Patte
5592,Patte
1989,Patte
1967,1967
560,Tatras
1040,Tatras
4893,Patte
6412,6412
2559,Patte
2794,2794
3313,3313
2661,Patte
1665,Pattatras
5315,Tatras
4449,Patte
1734,Patte
1003,1003
186,Patte
2105,Tatras
2092,2092
1321,1321
4843,4843
4650,Pattatras
3015,Pattatras
964,964
4333,4333
3430,Tatras
1976,1976
676,676
5461,5461
3086,3086
2380,Tatras
4770,Pattatras
309,Patte
4448,4448
4036,4036
3428,3428
4229,4229
5393,5393
2080,Tatras
6167,6167
3625,Tatras
5845,Tatras
5486,5486
1375,Tatras
1360,Tatras
542,542
4904,4904
4815,Pattatras
2307,Patte
5007,Patte
1717,1717
5533,5533
3590,Tatras
6094,6094
1426,1426
3729,Patte
3568,3568
4061,4061
493,493
425,Tatras
5089,5089
3969,Patte
444,Patte
1428,Patte
4942,4942
472,472
3656,3656
3407,3407
3359,3359
143,143
1819,1819
1901,1901
4615,Tatras
4945,Tatras
411,Patte
806,806
2774,2774
5044,5044
5220,Pattatras
4817,4817
4741,4741
643,643
3462,Patte
3042,Patte
527,527
3812,3812
5954,5954
5554,5554
1577,1577
3311,3311
3966,Patte
880,Tatras
3053,3053
5519,5519
4632,Patte
3982,3982
6007,6007
1385,Tatras
3009,Patte
5049,Patte
6308,6308
5227,5227
4465,Tatras
3342,Patte
1128,Patte
6066,Patte
6166,6166
2000,Tatras
2004,Patte
2173,2173
4889,4889
301,301
358,358
3436,3436
2822,2822
2242,2242
3085,Tatras
3961,3961
905,Tatras
4990,Tatras
2936,2936
1070,Tatras
436,436
984,Patte
1621,1621
389,389
6104,6104
1354,1354
3257,3257
1968,Patte
3681,Patte
1315,Tatras
1214,1214
6430,Tatras
4555,Tatras
4780,Tatras
2957,2957
1301,1301
1050,Pattatras
6021,Patte
5202,Patte
5977,5977
280,Tatras
1754,1754
1097,1097
4232,4232
5830,Tatras
1818,Patte
1737,Patte
5941,5941
1860,Pattatras
5127,Patte
6290,Tatras
5374,5374
268,268
5471,5471
2874,Patte
3579,Patte
1839,Patte
5195,Tatras
2734,2734
633,Patte
6208,6208
3668,3668
5753,5753
4161,Patte
172,172
4620,Pattatras
4320,Pattatras
1840,Tatras
1078,1078
3439,3439
2885,Tatras
5710,Tatras
4364,4364
1929,Patte
1594,1594
6178,6178
1811,1811
4071,Patte
2294,2294
2066,2066
450,Pattatras
1556,1556
2061,Patte
3730,Tatras
5687,5687
1988,1988
514,514
1052,1052
5367,Patte
4070,Tatras
4108,4108
3047,3047
3465,Pattatras
2611,2611
3979,3979
6396,Patte
6293,6293
824,824
4251,Patte
5802,Patte
4623,Patte
2592,Patte
5538,Patte
120,Pattatras
5129,5129
4177,4177
3296,3296
4726,4726
2614,2614
257,257
1758,Patte
4322,4322
640,Tatras
6289,6289
3541,3541
507,Patte
1883,1883
2704,2704
817,817
1141,1141
5163,Patte
1394,1394
1607,1607
960,Pattatras
4504,4504
4058,4058
1798,1798
6150,Pattatras
1493,1493
2013,Patte
3578,3578
5139,Patte
399,Patte
5354,5354
961,961
3900,Pattatras
6200,Tatras
2603,2603
1605,Pattatras
479,479
2660,Tatras
1519,1519
4494,Patte
5351,5351
2227,2227
2072,2072
5041,5041
6333,Patte
2923,2923
3521,3521
6111,Patte
31,31
6256,6256
4680,Pattatras
2765,Tatras
2687,2687
5296,5296
183,Patte
1832,1832
5384,5384
662,662
1224,Patte
5884,5884
5564,5564
3788,3788
5039,5039
6379,6379
1481,1481
6261,Patte
543,Patte
5429,5429
3024,Patte
5535,Pattatras
735,Pattatras
3068,3068
553,553
3783,Patte
6158,6158
1004,1004
607,607
5689,5689
2077,2077
1155,Pattatras
3152,3152
199,199
4557,Patte
5409,Patte
4573,4573
5360,Tatras
4390,Tatras
3408,Patte
6336,Patte
5017,5017
3232,3232
1563,Patte
5438,5438
672,Patte
1286,1286
44,44
6133,6133
2782,2782
5801,5801
483,Patte
5898,Patte
1634,1634
1307,1307
5638,5638
4168,4168
6367,6367
6033,Patte
1827,Patte
2699,2699
2264,2264
4847,4847
2259,Patte
2561,2561
1443,Patte
5672,5672
2002,2002
10,Tatras
6374,6374
1669,1669
602,602
2959,2959
4877,4877
6037,6037
5183,5183
3330,Pattatras
1930,Tatras
1714,1714
4570,Tatras
5903,5903
5601,Patte
2656,2656
5074,5074
3134,3134
5117,5117
6199,6199
4025,Tatras
1537,1537
5660,Tatras
2588,2588
111,Patte
1253,1253
2406,Patte
6023,6023
4532,4532
1014,Patte
682,682
3082,3082
5016,Patte
2657,2657
1975,Tatras
62,62
478,478
5359,5359
4066,4066
3364,3364
155,Tatras
1914,Patte
3399,Patte
296,296
3117,Patte
5606,5606
1978,1978
2968,2968
1829,1829
4113,Patte
2943,Patte
900,Pattatras
5261,5261
6080,Tatras
4814,4814
4430,Tatras
3676,3676
2861,2861
2962,2962
1853,1853
5812,5812
6314,6314
2477,2477
1448,1448
2420,Tatras
2764,2764
5350,Tatras
1823,1823
2871,Patte
482,482
3339,Patte
3089,3089
5279,5279
1106,1106
2234,2234
3401,3401
5015,Tatras
883,883
2996,2996
869,869
2384,2384
3882,Patte
6120,Pattatras
1963,1963
3511,3511
3736,3736
4392,Patte
878,878
5103,Patte
4458,Patte
5473,5473
4488,Patte
2035,Tatras
5969,5969
2619,Patte
4609,4609
4597,4597
4931,4931
5501,5501
2399,2399
6087,Patte
154,154
6226,6226
2501,2501
324,Patte
3264,Patte
5891,5891
3043,3043
3572,3572
2252,2252
2770,Tatras
3946,3946
3956,3956
413,413
788,788
2697,Patte
4679,4679
3559,3559
724,724
5157,Patte
2659,2659
5631,Patte
1781,1781
6194,6194
3252,Patte
6220,Tatras
48,Patte
2670,Pattatras
4714,4714
4076,4076
94,94
2444,2444
3012,Patte
5983,5983
1909,1909
760,Tatras
2513,2513
4053,Patte
764,764
1160,Tatras
548,548
3208,3208
5549,5549
3772,3772
2512,2512
5138,5138
912,Patte
5718,Patte
4396,4396
2382,Patte
4611,Patte
4685,Tatras
3106,3106
5058,Patte
3971,3971
4479,Patte
1285,Tatras
5629,5629
1764,Patte
578,578
1872,Patte
2837,2837
1676,1676
3051,Patte
3328,3328
2958,Patte
5483,5483
303,Patte
5841,Patte
2181,Patte
1016,1016
2971,2971
6422,6422
4289,4289
3338,3338
1383,Patte
1736,1736
620,Tatras
3332,3332
1727,1727
2503,2503
699,Patte
426,Patte
5159,5159
6364,6364
4900,Tatras
4856,4856
5234,5234
6102,Patte
1547,1547
5758,5758
2195,Tatras
4125,Pattatras
360,Pattatras
5102,5102
3027,Patte
4226,4226
3650,Tatras
18,Patte
3098,3098
6186,Patte
4126,4126
2556,Patte
246,Patte
1350,Pattatras
5197,5197
5951,5951
2308,2308
1543,1543
2590,Tatras
5847,Patte
6343,6343
1873,1873
5912,5912
1124,1124
3640,Tatras
4374,Patte
2158,2158
2271,Patte
312,Patte
1725,Pattatras
3614,3614
4859,4859
1828,1828
4771,4771
4588,4588
2315,Tatras
3549,Patte
3824,3824
1345,Tatras
3298,3298
4199,4199
1880,Tatras
4508,4508
719,719
6394,6394
2860,Tatras
3167,3167
4576,4576
1102,1102
2932,2932
2498,2498
1274,1274
4180,Tatras
4035,Pattatras
2088,Patte
1139,1139
138,Patte
5999,5999
1881,Patte
5180,Tatras
5524,5524
23,23
4308,Patte
1877,1877
2094,Patte
4746,Patte
3644,3644
284,284
1915,Tatras
5004,Patte
1406,1406
3443,3443
857,857
275,Tatras
2338,2338
5492,5492
3585,Pattatras
5057,5057
576,Patte
5310,Pattatras
4981,4981
4766,4766
1814,1814
145,Tatras
2964,Patte
953,953
5436,Patte
2104,2104
1581,Patte
1060,Tatras
2705,Tatras
2146,2146
6427,6427
4763,4763
305,Tatras
438,Patte
5603,5603
2652,Patte
1746,Patte
986,986
943,943
4255,Tatras
5297,5297
4216,4216
3509,3509
258,Patte
1722,Patte
4886,4886
123,Patte
2256,Patte
3735,Pattatras
484,484
4386,Patte
5327,5327
486,Patte
3360,Pattatras
2867,2867
3125,Tatras
577,577
982,982
4798,4798
1741,1741
4512,Patte
3283,3283
3933,Patte
3631,3631
5172,Patte
5255,Tatras
3055,Tatras
5550,Pattatras
3484,3484
2007,Patte
5639,5639
4271,4271
1333,1333
3535,Tatras
91,91
3726,Patte
6157,6157
4274,4274
5848,5848
1200,Pattatras
2093,2093
2896,2896
4985,Tatras
671,671
3238,3238
5864,5864
1861,1861
